".\VolumeSampling.exe -i .\model1.obj -o model1.vtk --viscosity 0.05 -r 0.03 -s "0.74 0.74 0.74""
"id","Points:0","Points:1","Points:2"
627,-0.546088,-0.109955,-0.46457
628,-0.486353,-0.110044,-0.447492
629,-0.422693,-0.112983,-0.449021
630,-0.363297,-0.116479,-0.447344
631,-0.305139,-0.117436,-0.4428
632,-0.244382,-0.118408,-0.441148
633,-0.183773,-0.118762,-0.451357
634,-0.133486,-0.12021,-0.474983
635,-0.100491,-0.0904497,-0.474834
636,-0.0621435,-0.109996,-0.460462
637,-0.00106628,-0.110906,-0.453995
638,0.0522986,-0.126376,-0.453579
639,0.100393,-0.128612,-0.490276
640,0.141975,-0.126338,-0.462329
641,0.191137,-0.119312,-0.453324
642,0.251615,-0.115904,-0.472735
643,0.302346,-0.106921,-0.507311
644,0.34456,-0.107202,-0.508811
645,0.387047,-0.11004,-0.503155
646,0.431646,-0.108948,-0.511822
647,0.475,-0.10828,-0.473466
648,-0.552964,-0.0663897,-0.441241
649,-0.511495,-0.0671552,-0.431692
650,-0.448694,-0.0678548,-0.432608
651,-0.390021,-0.0695724,-0.432132
652,-0.332608,-0.0698873,-0.431394
653,-0.276672,-0.0699023,-0.430862
654,-0.222567,-0.0695772,-0.430939
655,-0.171762,-0.0698841,-0.42985
656,-0.121637,-0.0762058,-0.433981
657,-0.0714685,-0.0707986,-0.429095
658,-0.025308,-0.0669411,-0.444477
659,0.0206821,-0.0663375,-0.440387
660,0.0717809,-0.064033,-0.435155
661,0.125172,-0.0698516,-0.435027
662,0.171047,-0.0725954,-0.435021
663,0.233344,-0.0760834,-0.435256
664,0.276684,-0.0728918,-0.472699
665,0.318151,-0.0653194,-0.480487
666,0.361042,-0.0673562,-0.474205
667,0.40238,-0.066929,-0.474111
668,0.447897,-0.0673715,-0.485981
669,0.475,-0.0662173,-0.451003
670,-0.546851,-0.0243292,-0.467251
671,-0.485791,-0.0250443,-0.44976
672,-0.422671,-0.0258176,-0.450791
673,-0.364787,-0.0254495,-0.445521
674,-0.308152,-0.0231514,-0.44204
675,-0.251142,-0.0220323,-0.439498
676,-0.193217,-0.0203639,-0.439024
677,-0.136779,-0.0276079,-0.440958
678,-0.0815083,-0.0255839,-0.445244
679,-0.0339778,-0.0329646,-0.475094
680,-0.000542004,-0.00485964,-0.475201
681,0.0444693,-0.0227539,-0.45469
682,0.117576,-0.0315266,-0.462835
683,0.154601,-0.0492931,-0.493939
684,0.195573,-0.0391946,-0.466031
685,0.255228,-0.0237049,-0.45387
686,0.296138,-0.0353139,-0.507902
687,0.340412,-0.0271807,-0.512416
688,0.385461,-0.0244141,-0.506507
689,0.431209,-0.0248758,-0.513076
690,0.475,-0.0251845,-0.474635
691,-0.553191,0.0176089,-0.44255
692,-0.511407,0.0180494,-0.432721
693,-0.44789,0.0187899,-0.434129
694,-0.389741,0.019963,-0.432935
695,-0.332948,0.0211647,-0.431971
696,-0.275847,0.022851,-0.431171
697,-0.221967,0.0246982,-0.431032
698,-0.169541,0.0239675,-0.430768
